Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus
rad/s,s,Celsius,%,MPa,,MPa,MPa
6.28319,880.004,40.07,0.0915892,1.58650,0.0335911,1731.21,58.1534
6.28319,883.004,40.10,0.0915734,1.58605,0.0336244,1731.02,58.2047
6.28319,886.004,40.14,0.0916124,1.58665,0.0336382,1730.94,58.2258
6.28319,889.004,40.18,0.0915843,1.58622,0.0335606,1731.00,58.0936
6.28319,892.004,40.23,0.0915817,1.58599,0.0335980,1730.80,58.1515
6.28319,895.004,40.29,0.0916102,1.58641,0.0335873,1730.72,58.1304
6.28319,898.004,40.34,0.0915774,1.58587,0.0335518,1730.75,58.0697
6.28319,901.004,40.41,0.0915911,1.58591,0.0335994,1730.53,58.1449
6.28319,904.004,40.47,0.0916027,1.58610,0.0335769,1730.52,58.1056
6.28319,907.004,40.54,0.0915821,1.58567,0.0335617,1730.44,58.0766
6.28319,910.004,40.61,0.0915929,1.58570,0.0335842,1730.27,58.1098
6.28319,913.004,40.68,0.0915997,1.58579,0.0335867,1730.24,58.1129
6.28319,916.004,40.75,0.0915807,1.58538,0.0335827,1730.16,58.1034
6.28319,919.004,40.83,0.0915954,1.58546,0.0336313,1729.97,58.1810
6.28319,922.004,40.91,0.0915984,1.58546,0.0335941,1729.91,58.1149
6.28319,925.004,40.99,0.0915832,1.58506,0.0335811,1729.75,58.0869
6.28319,928.004,41.07,0.0915979,1.58518,0.0336387,1729.61,58.1818
6.28319,931.004,41.16,0.0915942,1.58505,0.0336133,1729.54,58.1354
6.28319,934.004,41.25,0.0915851,1.58474,0.0336215,1729.37,58.1441
6.28319,937.004,41.34,0.0915992,1.58479,0.0336207,1729.16,58.1357
6.28319,940.004,41.43,0.0915933,1.58459,0.0336037,1729.05,58.1025
6.28319,943.004,41.52,0.0915847,1.58429,0.0336115,1728.88,58.1103
6.28319,946.004,41.62,0.0916006,1.58444,0.0336138,1728.75,58.1097
6.28319,949.004,41.71,0.0915896,1.58419,0.0335982,1728.69,58.0809
6.28319,952.004,41.81,0.0915879,1.58398,0.0336058,1728.49,58.0871
6.28319,955.004,41.91,0.0915994,1.58402,0.0336061,1728.32,58.0820
6.28319,958.004,42.01,0.0915902,1.58372,0.0335902,1728.16,58.0493
6.28319,961.004,42.12,0.0915909,1.58356,0.0336066,1727.97,58.0712
6.28319,964.004,42.22,0.0915959,1.58350,0.0336175,1727.81,58.0847
6.28319,967.004,42.32,0.0915905,1.58325,0.0336238,1727.64,58.0898
6.28319,970.004,42.43,0.0915942,1.58311,0.0336334,1727.42,58.0991
6.28319,973.004,42.54,0.0915947,1.58297,0.0336333,1727.26,58.0935
6.28319,976.004,42.65,0.0915896,1.58272,0.0336466,1727.08,58.1104
6.28319,979.004,42.75,0.0915944,1.58261,0.0336737,1726.87,58.1500
6.28319,982.004,42.86,0.0915958,1.58249,0.0336516,1726.71,58.1066
6.28319,985.004,42.96,0.0915888,1.58217,0.0336463,1726.50,58.0904
6.28319,988.004,43.06,0.0915960,1.58210,0.0336610,1726.28,58.1082
6.28319,991.004,43.16,0.0915954,1.58193,0.0336593,1726.10,58.0994
6.28319,994.004,43.26,0.0915904,1.58164,0.0336459,1725.89,58.0691
6.28319,997.004,43.36,0.0915928,1.58147,0.0336466,1725.66,58.0626
6.28319,1000.00,43.46,0.0915970,1.58134,0.0336737,1725.44,58.1018
6.28319,1003.00,43.57,0.0915910,1.58110,0.0337210,1725.28,58.1782
6.28319,1006.00,43.69,0.0916010,1.58106,0.0336822,1725.05,58.1036
6.28319,1009.00,43.81,0.0915922,1.58072,0.0336428,1724.85,58.0287
6.28319,1012.00,43.93,0.0915915,1.58049,0.0336463,1724.61,58.0267
6.28319,1015.00,44.06,0.0915954,1.58029,0.0336595,1724.32,58.0398
6.28319,1018.00,44.19,0.0915942,1.58003,0.0336624,1724.06,58.0361
6.28319,1021.00,44.32,0.0915921,1.57975,0.0336717,1723.79,58.0430
6.28319,1024.00,44.44,0.0915945,1.57958,0.0336676,1723.56,58.0280
6.28319,1027.00,44.57,0.0915934,1.57928,0.0336608,1723.26,58.0062
6.28319,1030.00,44.69,0.0915958,1.57903,0.0336818,1722.94,58.0317
6.28319,1033.00,44.82,0.0915943,1.57878,0.0336746,1722.69,58.0109
6.28319,1036.00,44.94,0.0915921,1.57848,0.0336828,1722.40,58.0153
6.28319,1039.00,45.07,0.0915969,1.57828,0.0336923,1722.09,58.0211
6.28319,1042.00,45.19,0.0915943,1.57802,0.0336941,1721.86,58.0165
6.28319,1045.00,45.32,0.0915923,1.57775,0.0337069,1721.60,58.0297
6.28319,1048.00,45.45,0.0915936,1.57755,0.0337370,1721.35,58.0732
6.28319,1051.00,45.57,0.0915961,1.57731,0.0337753,1721.05,58.1289
6.28319,1054.00,45.70,0.0915949,1.57706,0.0337529,1720.79,58.0817
6.28319,1057.00,45.83,0.0915935,1.57667,0.0337499,1720.40,58.0633
6.28319,1060.00,45.96,0.0915980,1.57646,0.0337584,1720.08,58.0671
6.28319,1063.00,46.09,0.0915922,1.57609,0.0337608,1719.79,58.0614
