Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus
rad/s,s,Celsius,%,MPa,,MPa,MPa
1256.64,875.729,40.05,0.0116761,0.218801,0.0123316,1873.79,23.1069
1256.64,878.016,40.07,0.0116768,0.218812,0.0123315,1873.76,23.1062
1256.64,880.341,40.1,0.0116774,0.218819,0.0123165,1873.72,23.0777
1256.64,882.666,40.13,0.0116787,0.218831,0.0123149,1873.61,23.0733
1256.64,884.991,40.16,0.0116797,0.218842,0.0123372,1873.56,23.1145
1256.64,887.316,40.19,0.0116796,0.218839,0.0122957,1873.54,23.0365
1256.64,889.641,40.23,0.0116817,0.218858,0.012326,1873.37,23.0912
1256.64,891.966,40.27,0.0116817,0.218855,0.0123417,1873.34,23.1202
1256.64,894.291,40.32,0.0116825,0.21886,0.0123273,1873.25,23.0922
1256.64,896.616,40.36,0.0116837,0.218878,0.012296,1873.21,23.033
1256.64,898.941,40.41,0.0116841,0.218878,0.0123331,1873.15,23.1019
1256.64,901.266,40.47,0.0116846,0.218877,0.0123477,1873.06,23.1279
1256.64,903.591,40.52,0.0116859,0.218893,0.0123295,1872.99,23.093
1256.64,905.916,40.57,0.0116874,0.218905,0.0123137,1872.86,23.0619
1256.64,908.241,40.63,0.0116878,0.218907,0.0123349,1872.81,23.1008
1256.64,910.566,40.69,0.0116894,0.218928,0.0123099,1872.73,23.0532
1256.64,912.891,40.75,0.0116909,0.218939,0.0123483,1872.58,23.1232
1256.64,915.216,40.81,0.0116915,0.218939,0.0123394,1872.5,23.1056
1256.64,917.541,40.87,0.0116938,0.218961,0.0123381,1872.31,23.1006
1256.64,919.866,40.93,0.0116942,0.218966,0.0122898,1872.29,23.01
1256.64,922.191,41,0.0116963,0.218983,0.0123355,1872.1,23.0934
1256.64,924.516,41.06,0.0116973,0.218993,0.0123376,1872.02,23.0962
1256.64,926.841,41.13,0.0116982,0.218997,0.0123341,1871.91,23.0883
1256.64,929.166,41.19,0.0116995,0.219007,0.0123074,1871.79,23.037
1256.64,931.491,41.26,0.011702,0.219032,0.0123362,1871.61,23.0886
1256.64,933.816,41.33,0.0117028,0.219039,0.0123408,1871.53,23.096
1256.64,936.141,41.4,0.0117043,0.219052,0.0123335,1871.42,23.0811
1256.64,938.466,41.47,0.0117058,0.219064,0.0123161,1871.27,23.0467
1256.64,940.791,41.54,0.0117078,0.219084,0.0123288,1871.13,23.0689
1256.64,943.116,41.61,0.0117083,0.219086,0.0123405,1871.05,23.0897
1256.64,945.441,41.69,0.0117101,0.219102,0.012327,1870.91,23.0627
1256.64,947.766,41.76,0.0117123,0.219116,0.0123353,1870.67,23.0754
1256.64,950.091,41.84,0.0117139,0.219131,0.0123382,1870.54,23.0791
1256.64,952.416,41.91,0.0117169,0.219156,0.0123719,1870.28,23.1389
1256.64,954.741,41.99,0.0117176,0.219169,0.0123499,1870.28,23.0978
1256.64,957.066,42.07,0.0117211,0.219197,0.0123997,1869.97,23.187
1256.64,959.391,42.15,0.011723,0.219208,0.0124323,1869.75,23.2453
1256.64,961.716,42.23,0.0117249,0.219223,0.0124007,1869.58,23.184
1256.64,964.041,42.3,0.0117261,0.219235,0.0123776,1869.49,23.1397
1256.64,966.366,42.38,0.011729,0.219261,0.0124335,1869.24,23.2411
1256.64,968.691,42.46,0.0117329,0.219288,0.0125749,1868.84,23.5006
1256.64,971.016,42.53,0.0117348,0.219306,0.0125289,1868.7,23.4127
1256.64,973.341,42.61,0.0117379,0.219335,0.0125879,1868.46,23.5201
1256.64,975.666,42.68,0.0117389,0.219343,0.0125445,1868.37,23.4378
1256.64,977.991,42.75,0.0117415,0.219359,0.0126164,1868.08,23.5684
1256.64,980.316,42.82,0.0117432,0.219376,0.0125582,1867.97,23.4583
1256.64,982.641,42.9,0.0117446,0.219385,0.0125405,1867.82,23.4234
1256.64,984.966,42.98,0.0117467,0.219405,0.0125438,1867.65,23.4274
1256.64,987.291,43.06,0.0117479,0.219413,0.0125516,1867.53,23.4405
1256.64,989.616,43.15,0.0117503,0.219433,0.0125226,1867.32,23.3838
1256.64,991.941,43.25,0.0117529,0.219459,0.0125065,1867.13,23.3514
1256.64,994.266,43.34,0.0117542,0.219471,0.0124759,1867.03,23.2929
1256.64,996.591,43.44,0.0117554,0.219475,0.0124891,1866.87,23.3156
1256.64,998.916,43.53,0.0117573,0.219495,0.0124847,1866.73,23.3056
1256.64,1001.24,43.63,0.0117597,0.219521,0.012474,1866.58,23.2837
1256.64,1003.57,43.73,0.011761,0.219527,0.0124667,1866.42,23.268
1256.64,1005.89,43.83,0.0117621,0.219533,0.0124786,1866.29,23.2887
1256.64,1008.22,43.92,0.0117641,0.219553,0.0124872,1866.16,23.303
1256.64,1010.54,44.02,0.011766,0.219569,0.0124818,1865.98,23.2908
1256.64,1012.87,44.12,0.0117677,0.21958,0.0124668,1865.82,23.2607
1256.64,1015.19,44.21,0.0117696,0.219604,0.0124441,1865.71,23.2171
1256.64,1017.52,44.31,0.0117713,0.219622,0.0124333,1865.59,23.1954
1256.64,1019.84,44.41,0.0117716,0.219619,0.0124509,1865.52,23.2274
1256.64,1022.17,44.5,0.0117735,0.219635,0.0124811,1865.36,23.2817
1256.64,1024.49,44.6,0.0117763,0.219662,0.0124742,1865.15,23.2662
1256.64,1026.82,44.7,0.0117781,0.219683,0.0124384,1865.03,23.198
1256.64,1029.14,44.8,0.0117793,0.219693,0.0124402,1864.93,23.2001
1256.64,1031.47,44.89,0.0117801,0.219699,0.0124646,1864.85,23.2447
1256.64,1033.79,44.99,0.0117821,0.219711,0.0124924,1864.64,23.2937
1256.64,1036.12,45.09,0.0117842,0.219728,0.0124972,1864.46,23.3005
1256.64,1038.44,45.19,0.0117864,0.219753,0.0124534,1864.32,23.217
