Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.2164","0.0045"
"0.1000","0.2165","0.0047"
"0.2000","0.2167","0.0047"
"0.3000","0.2171","0.0047"
"0.4000","0.2212","0.0048"
"0.5000","0.2228","0.0049"
"0.6000","0.2240","0.0046"
"0.7000","0.2258","0.0048"
"0.8000","0.2277","0.0049"
"0.9000","0.2296","0.0047"
"1.0000","0.2310","0.0050"
"1.1000","0.2324","0.0050"
"1.2000","0.2342","0.0052"
"1.3000","0.2362","0.0049"
"1.4000","0.2379","0.0049"
"1.5000","0.2393","0.0051"
"1.6000","0.2409","0.0049"
"1.7000","0.2425","0.0050"
"1.8000","0.2446","0.0050"
"1.9000","0.2462","0.0049"
"2.0000","0.2476","0.0052"
"2.1000","0.2492","0.0050"
"2.2000","0.2509","0.0048"
"2.3000","0.2529","0.0048"
"2.4000","0.2545","0.0050"
"2.5000","0.2560","0.0046"
"2.6000","0.2577","0.0045"
"2.7000","0.2593","0.0048"
"2.8000","0.2613","0.0051"
"2.9000","0.2628","0.0047"
"3.0000","0.2643","0.0049"
"3.1000","0.2659","0.0048"
"3.2000","0.2676","0.0050"
"3.3000","0.2696","0.0048"
"3.4000","0.2710","0.0049"
"3.5000","0.2726","0.0048"
"3.6000","0.2743","0.0049"
"3.7000","0.2759","0.0050"
"3.8000","0.2778","0.0049"
"3.9000","0.2794","0.0047"
"4.0000","0.2810","0.0047"
"4.1000","0.2827","0.0046"
"4.2000","0.2843","0.0048"
"4.3000","0.2861","0.0050"
"4.4000","0.2877","0.0045"
"4.5000","0.2893","0.0048"
"4.6000","0.2912","0.0046"
"4.7000","0.2927","0.0048"
"4.8000","0.2943","0.0047"
"4.9000","0.2960","0.0048"
"5.0000","0.2977","0.0046"
"5.1000","0.2996","0.0048"
"5.2000","0.3010","0.0048"
"5.3000","0.3027","0.0048"
"5.4000","0.3043","0.0050"
"5.5000","0.3061","0.0048"
"5.6000","0.3080","0.0049"
"5.7000","0.3094","0.0051"
"5.8000","0.3110","0.0047"
"5.9000","0.3125","0.0048"
"6.0000","0.3144","0.0050"
"6.1000","0.3164","0.0049"
"6.2000","0.3177","0.0049"
"6.3000","0.3191","0.0047"
"6.4000","0.3208","0.0050"
"6.5000","0.3227","0.0045"
"6.6000","0.3247","0.0048"
"6.7000","0.3261","0.0047"
"6.8000","0.3274","0.0047"
"6.9000","0.3291","0.0048"
"7.0000","0.3312","0.0049"
"7.1000","0.3332","0.0049"
"7.2000","0.3344","0.0045"
"7.3000","0.3357","0.0046"
"7.4000","0.3374","0.0048"
"7.5000","0.3395","0.0051"
"7.6000","0.3415","0.0049"
"7.7000","0.3428","0.0052"
"7.8000","0.3440","0.0052"
"7.9000","0.3458","0.0053"
"8.0000","0.3479","0.0055"
"8.1000","0.3499","0.0055"
"8.2000","0.3512","0.0050"
"8.3000","0.3524","0.0051"
"8.4000","0.3541","0.0057"
"8.5000","0.3563","0.0052"
"8.6000","0.3583","0.0053"
"8.7000","0.3595","0.0052"
"8.8000","0.3606","0.0051"
"8.9000","0.3624","0.0051"
"9.0000","0.3645","0.0052"
"9.1000","0.3665","0.0052"
"9.2000","0.3677","0.0053"
"9.3000","0.3690","0.0052"
"9.4000","0.3707","0.0056"
"9.5000","0.3728","0.0053"
"9.6000","0.3748","0.0054"
"9.7000","0.3761","0.0053"
"9.8000","0.3774","0.0056"
"9.9000","0.3791","0.0056"
"10.0000","0.3813","0.0057"
"10.1000","0.3832","0.0056"
"10.2000","0.3844","0.0059"
"10.3000","0.3857","0.0059"
"10.4000","0.3874","0.0056"
"10.5000","0.3895","0.0057"
"10.6000","0.3914","0.0059"
"10.7000","0.3927","0.0057"
"10.8000","0.3942","0.0056"
"10.9000","0.3958","0.0058"
"11.0000","0.3979","0.0054"
"11.1000","0.3997","0.0058"
"11.2000","0.4011","0.0056"
"11.3000","0.4026","0.0056"
"11.4000","0.4042","0.0057"
"11.5000","0.4063","0.0054"
"11.6000","0.4079","0.0054"
"11.7000","0.4093","0.0057"
"11.8000","0.4109","0.0056"
"11.9000","0.4125","0.0057"
"12.0000","0.4145","0.0053"
"12.1000","0.4162","0.0053"
"12.2000","0.4177","0.0057"
"12.3000","0.4195","0.0055"
"12.4000","0.4208","0.0055"
"12.5000","0.4227","0.0057"
"12.6000","0.4245","0.0056"
"12.7000","0.4261","0.0053"
"12.8000","0.4277","0.0057"
"12.9000","0.4293","0.0056"
"13.0000","0.4311","0.0057"
"13.1000","0.4327","0.0059"
"13.2000","0.4344","0.0059"
"13.3000","0.4361","0.0060"
"13.4000","0.4377","0.0058"
"13.5000","0.4393","0.0059"
