Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0423","0.0017"
"0.1000","0.0424","0.0020"
"0.2000","0.0426","0.0021"
"0.3000","0.0433","0.0020"
"0.4000","0.0432","0.0023"
"0.5000","0.0437","0.0020"
"0.6000","0.0480","0.0025"
"0.7000","0.0501","0.0025"
"0.8000","0.0519","0.0025"
"0.9000","0.0537","0.0025"
"1.0000","0.0547","0.0028"
"1.1000","0.0565","0.0027"
"1.2000","0.0584","0.0029"
"1.3000","0.0605","0.0029"
"1.4000","0.0619","0.0030"
"1.5000","0.0630","0.0033"
"1.6000","0.0648","0.0031"
"1.7000","0.0667","0.0033"
"1.8000","0.0689","0.0030"
"1.9000","0.0702","0.0031"
"2.0000","0.0714","0.0032"
"2.1000","0.0731","0.0033"
"2.2000","0.0751","0.0033"
"2.3000","0.0773","0.0033"
"2.4000","0.0786","0.0034"
"2.5000","0.0797","0.0034"
"2.6000","0.0814","0.0036"
"2.7000","0.0834","0.0035"
"2.8000","0.0855","0.0038"
"2.9000","0.0869","0.0038"
"3.0000","0.0880","0.0035"
"3.1000","0.0897","0.0038"
"3.2000","0.0917","0.0035"
"3.3000","0.0939","0.0041"
"3.4000","0.0952","0.0038"
"3.5000","0.0964","0.0040"
"3.6000","0.0980","0.0041"
"3.7000","0.1001","0.0039"
"3.8000","0.1022","0.0042"
"3.9000","0.1035","0.0043"
"4.0000","0.1048","0.0044"
"4.1000","0.1064","0.0046"
"4.2000","0.1084","0.0045"
"4.3000","0.1104","0.0046"
"4.4000","0.1119","0.0046"
"4.5000","0.1132","0.0047"
"4.6000","0.1147","0.0046"
"4.7000","0.1168","0.0054"
"4.8000","0.1187","0.0051"
"4.9000","0.1201","0.0050"
"5.0000","0.1216","0.0052"
"5.1000","0.1232","0.0052"
"5.2000","0.1251","0.0053"
"5.3000","0.1271","0.0055"
"5.4000","0.1284","0.0054"
"5.5000","0.1300","0.0052"
"5.6000","0.1315","0.0050"
"5.7000","0.1334","0.0054"
"5.8000","0.1352","0.0054"
"5.9000","0.1367","0.0052"
"6.0000","0.1383","0.0052"
"6.1000","0.1399","0.0052"
"6.2000","0.1417","0.0053"
"6.3000","0.1435","0.0054"
"6.4000","0.1450","0.0052"
"6.5000","0.1467","0.0053"
"6.6000","0.1483","0.0053"
"6.7000","0.1500","0.0054"
"6.8000","0.1518","0.0051"
"6.9000","0.1534","0.0054"
"7.0000","0.1551","0.0052"
"7.1000","0.1568","0.0055"
"7.2000","0.1583","0.0052"
"7.3000","0.1600","0.0053"
"7.4000","0.1616","0.0051"
"7.5000","0.1636","0.0051"
