Time,Displacement,Force
(s),(mm),(kN)
"0.0000","-1.1786","0.0243"
"0.1000","-1.1785","0.0245"
"0.2000","-1.1782","0.0250"
"0.3000","-1.1780","0.0268"
"0.4000","-1.1779","0.0268"
"0.5000","-1.1770","0.0306"
"0.6000","-1.1716","0.0513"
"0.7000","-1.1702","0.0529"
"0.8000","-1.1696","0.0550"
"0.9000","-1.1673","0.0623"
"1.0000","-1.1654","0.0663"
"1.1000","-1.1637","0.0701"
"1.2000","-1.1624","0.0724"
"1.3000","-1.1608","0.0763"
"1.4000","-1.1589","0.0811"
"1.5000","-1.1569","0.0865"
"1.6000","-1.1554","0.0904"
"1.7000","-1.1540","0.0956"
"1.8000","-1.1525","0.1028"
"1.9000","-1.1506","0.1129"
"2.0000","-1.1486","0.1226"
"2.1000","-1.1471","0.1295"
"2.2000","-1.1457","0.1366"
"2.3000","-1.1441","0.1452"
"2.4000","-1.1423","0.1550"
"2.5000","-1.1403","0.1648"
"2.6000","-1.1389","0.1727"
"2.7000","-1.1374","0.1813"
"2.8000","-1.1358","0.1893"
"2.9000","-1.1339","0.1997"
"3.0000","-1.1320","0.2099"
"3.1000","-1.1306","0.2175"
"3.2000","-1.1291","0.2263"
"3.3000","-1.1275","0.2347"
"3.4000","-1.1255","0.2451"
"3.5000","-1.1237","0.2558"
"3.6000","-1.1223","0.2634"
"3.7000","-1.1207","0.2712"
"3.8000","-1.1192","0.2799"
"3.9000","-1.1171","0.2909"
"4.0000","-1.1154","0.3014"
"4.1000","-1.1140","0.3088"
"4.2000","-1.1124","0.3164"
"4.3000","-1.1107","0.3244"
"4.4000","-1.1087","0.3358"
"4.5000","-1.1071","0.3440"
"4.6000","-1.1056","0.3520"
"4.7000","-1.1041","0.3597"
"4.8000","-1.1024","0.3693"
"4.9000","-1.1004","0.3805"
"5.0000","-1.0988","0.3891"
"5.1000","-1.0973","0.3961"
"5.2000","-1.0958","0.4042"
"5.3000","-1.0941","0.4132"
"5.4000","-1.0921","0.4238"
"5.5000","-1.0904","0.4324"
"5.6000","-1.0890","0.4394"
"5.7000","-1.0874","0.4486"
"5.8000","-1.0857","0.4578"
"5.9000","-1.0837","0.4687"
"6.0000","-1.0821","0.4756"
"6.1000","-1.0807","0.4823"
"6.2000","-1.0792","0.4908"
"6.3000","-1.0773","0.5012"
"6.4000","-1.0753","0.5111"
"6.5000","-1.0739","0.5174"
"6.6000","-1.0724","0.5252"
"6.7000","-1.0709","0.5332"
"6.8000","-1.0690","0.5440"
"6.9000","-1.0670","0.5532"
"7.0000","-1.0655","0.5596"
"7.1000","-1.0640","0.5669"
"7.2000","-1.0624","0.5753"
"7.3000","-1.0606","0.5853"
"7.4000","-1.0587","0.5950"
"7.5000","-1.0571","0.6022"
"7.6000","-1.0558","0.6078"
"7.7000","-1.0541","0.6167"
"7.8000","-1.0523","0.6254"
"7.9000","-1.0503","0.6360"
"8.0000","-1.0489","0.6426"
"8.1000","-1.0474","0.6499"
"8.2000","-1.0458","0.6591"
"8.3000","-1.0439","0.6682"
"8.4000","-1.0421","0.6778"
