Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0115"
"0.1000","0.0001","0.0119"
"0.2000","0.0006","0.0130"
"0.3000","0.0003","0.0128"
"0.4000","0.0008","0.0140"
"0.5000","0.0043","0.0316"
"0.6000","0.0074","0.0483"
"0.7000","0.0090","0.0566"
"0.8000","0.0109","0.0662"
"0.9000","0.0120","0.0716"
"1.0000","0.0137","0.0797"
"1.1000","0.0155","0.0889"
"1.2000","0.0178","0.0991"
"1.3000","0.0191","0.1047"
"1.4000","0.0203","0.1111"
"1.5000","0.0220","0.1192"
"1.6000","0.0237","0.1276"
"1.7000","0.0262","0.1407"
"1.8000","0.0274","0.1454"
"1.9000","0.0288","0.1510"
"2.0000","0.0304","0.1588"
"2.1000","0.0321","0.1668"
"2.2000","0.0345","0.1779"
"2.3000","0.0357","0.1833"
"2.4000","0.0371","0.1892"
"2.5000","0.0387","0.1971"
"2.6000","0.0405","0.2061"
"2.7000","0.0427","0.2154"
"2.8000","0.0439","0.2211"
"2.9000","0.0454","0.2273"
"3.0000","0.0470","0.2344"
"3.1000","0.0489","0.2440"
"3.2000","0.0510","0.2533"
"3.3000","0.0522","0.2583"
"3.4000","0.0538","0.2651"
"3.5000","0.0554","0.2722"
"3.6000","0.0573","0.2817"
"3.7000","0.0593","0.2905"
"3.8000","0.0606","0.2956"
"3.9000","0.0622","0.3026"
"4.0000","0.0638","0.3094"
"4.1000","0.0657","0.3185"
"4.2000","0.0675","0.3275"
"4.3000","0.0689","0.3332"
"4.4000","0.0704","0.3390"
"4.5000","0.0721","0.3460"
"4.6000","0.0741","0.3541"
"4.7000","0.0758","0.3619"
"4.8000","0.0771","0.3677"
"4.9000","0.0788","0.3754"
"5.0000","0.0805","0.3829"
"5.1000","0.0823","0.3908"
"5.2000","0.0840","0.3988"
"5.3000","0.0855","0.4053"
"5.4000","0.0871","0.4109"
"5.5000","0.0889","0.4192"
"5.6000","0.0907","0.4265"
"5.7000","0.0923","0.4327"
"5.8000","0.0938","0.4395"
"5.9000","0.0955","0.4470"
"6.0000","0.0973","0.4537"
"6.1000","0.0991","0.4620"
"6.2000","0.1006","0.4686"
"6.3000","0.1021","0.4744"
"6.4000","0.1039","0.4821"
"6.5000","0.1057","0.4900"
"6.6000","0.1074","0.4966"
"6.7000","0.1090","0.5020"
"6.8000","0.1105","0.5076"
"6.9000","0.1123","0.5156"
"7.0000","0.1141","0.5238"
"7.1000","0.1157","0.5301"
"7.2000","0.1172","0.5356"
"7.3000","0.1188","0.5421"
"7.4000","0.1206","0.5485"
"7.5000","0.1224","0.5558"
"7.6000","0.1240","0.5627"
"7.7000","0.1255","0.5692"
"7.8000","0.1271","0.5745"
"7.9000","0.1290","0.5814"
"8.0000","0.1307","0.5880"
"8.1000","0.1323","0.5938"
"8.2000","0.1339","0.6003"
"8.3000","0.1355","0.6071"
"8.4000","0.1373","0.6141"
"8.5000","0.1390","0.6210"
"8.6000","0.1406","0.6265"
"8.7000","0.1421","0.6316"
"8.8000","0.1438","0.6382"
"8.9000","0.1457","0.6454"
"9.0000","0.1473","0.6518"
"9.1000","0.1488","0.6571"
"9.2000","0.1505","0.6637"
"9.3000","0.1522","0.6696"
"9.4000","0.1541","0.6770"
"9.5000","0.1557","0.6827"
"9.6000","0.1572","0.6883"
"9.7000","0.1588","0.6939"
"9.8000","0.1606","0.7001"
"9.9000","0.1624","0.7068"
"10.0000","0.1639","0.7118"
"10.1000","0.1655","0.7176"
"10.2000","0.1672","0.7234"
"10.3000","0.1690","0.7298"
"10.4000","0.1707","0.7353"
"10.5000","0.1722","0.7395"
"10.6000","0.1737","0.7441"
"10.7000","0.1755","0.7497"
"10.8000","0.1774","0.7569"
"10.9000","0.1791","0.7635"
"11.0000","0.1805","0.7670"
"11.1000","0.1820","0.7710"
"11.2000","0.1838","0.7774"
"11.3000","0.1858","0.7848"
"11.4000","0.1874","0.7888"
"11.5000","0.1888","0.7926"
"11.6000","0.1905","0.7980"
"11.7000","0.1921","0.8040"
"11.8000","0.1942","0.8123"
"11.9000","0.1958","0.8166"
"12.0000","0.1970","0.8187"
"12.1000","0.1987","0.8242"
"12.2000","0.2005","0.8292"
"12.3000","0.2026","0.8361"
"12.4000","0.2042","0.8405"
"12.5000","0.2053","0.8429"
"12.6000","0.2070","0.8483"
"12.7000","0.2088","0.8535"
"12.8000","0.2111","0.8612"
"12.9000","0.2125","0.8645"
"13.0000","0.2137","0.8664"
"13.1000","0.2153","0.8712"
"13.2000","0.2172","0.8772"
"13.3000","0.2193","0.8845"
"13.4000","0.2208","0.8877"
"13.5000","0.2220","0.8894"
"13.6000","0.2236","0.8936"
"13.7000","0.2256","0.8993"
"13.8000","0.2277","0.9058"
"13.9000","0.2292","0.9090"
"14.0000","0.2303","0.9103"
"14.1000","0.2319","0.9139"
"14.2000","0.2338","0.9194"
"14.3000","0.2360","0.9261"
"14.4000","0.2375","0.9289"
"14.5000","0.2387","0.9306"
"14.6000","0.2402","0.9340"
"14.7000","0.2422","0.9395"
"14.8000","0.2442","0.9453"
"14.9000","0.2458","0.9484"
"15.0000","0.2471","0.9507"
"15.1000","0.2486","0.9537"
"15.2000","0.2506","0.9597"
"15.3000","0.2526","0.9647"
"15.4000","0.2541","0.9675"
"15.5000","0.2555","0.9695"
"15.6000","0.2569","0.9724"
"15.7000","0.2589","0.9776"
"15.8000","0.2609","0.9825"
"15.9000","0.2624","0.9846"
"16.0000","0.2639","0.9871"
"16.1000","0.2653","0.9890"
"16.2000","0.2672","0.9937"
"16.3000","0.2691","0.9992"
"16.4000","0.2707","1.0017"
"16.5000","0.2723","1.0050"
"16.6000","0.2736","1.0068"
"16.7000","0.2756","1.0111"
"16.8000","0.2774","1.0147"
"16.9000","0.2789","1.0166"
"17.0000","0.2806","1.0198"
"17.1000","0.2820","1.0212"
"17.2000","0.2839","1.0249"
"17.3000","0.2857","1.0278"
"17.4000","0.2872","1.0299"
"17.5000","0.2889","1.0326"
"17.6000","0.2905","1.0344"
"17.7000","0.2921","1.0369"
"17.8000","0.2940","1.0400"
"17.9000","0.2956","1.0424"
"18.0000","0.2975","1.0460"
"18.1000","0.2989","1.0473"
"18.2000","0.3005","1.0485"
"18.3000","0.3024","1.0515"
"18.4000","0.3039","1.0528"
"18.5000","0.3057","1.0550"
"18.6000","0.3074","1.0568"
"18.7000","0.3088","1.0572"
"18.8000","0.3105","1.0591"
"18.9000","0.3122","1.0607"
"19.0000","0.3140","1.0634"
"19.1000","0.3158","1.0654"
"19.2000","0.3171","1.0648"
"19.3000","0.3188","1.0671"
