Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0519"
"0.1000","0.0009","0.0526"
"0.2000","0.0030","0.0530"
"0.3000","0.0047","0.0541"
"0.4000","0.0064","0.0554"
"0.5000","0.0083","0.0569"
"0.6000","0.0100","0.0575"
"0.7000","0.0115","0.0579"
"0.8000","0.0133","0.0593"
"0.9000","0.0152","0.0597"
"1.0000","0.0167","0.0601"
"1.1000","0.0183","0.0616"
"1.2000","0.0202","0.0621"
"1.3000","0.0218","0.0628"
"1.4000","0.0233","0.0643"
"1.5000","0.0250","0.0655"
"1.6000","0.0269","0.0671"
"1.7000","0.0284","0.0684"
"1.8000","0.0299","0.0703"
"1.9000","0.0319","0.0725"
"2.0000","0.0335","0.0738"
"2.1000","0.0350","0.0749"
"2.2000","0.0367","0.0762"
"2.3000","0.0386","0.0780"
"2.4000","0.0401","0.0817"
"2.5000","0.0416","0.0861"
"2.6000","0.0435","0.0911"
"2.7000","0.0452","0.0957"
"2.8000","0.0467","0.0997"
"2.9000","0.0484","0.1049"
"3.0000","0.0502","0.1103"
"3.1000","0.0517","0.1148"
"3.2000","0.0533","0.1195"
"3.3000","0.0551","0.1250"
"3.4000","0.0569","0.1307"
"3.5000","0.0584","0.1355"
"3.6000","0.0600","0.1407"
"3.7000","0.0618","0.1468"
"3.8000","0.0634","0.1524"
"3.9000","0.0649","0.1572"
"4.0000","0.0668","0.1632"
"4.1000","0.0685","0.1696"
"4.2000","0.0700","0.1745"
"4.3000","0.0716","0.1799"
"4.4000","0.0735","0.1863"
"4.5000","0.0752","0.1920"
"4.6000","0.0767","0.1968"
"4.7000","0.0783","0.2035"
"4.8000","0.0802","0.2088"
"4.9000","0.0817","0.2130"
"5.0000","0.0833","0.2161"
"5.1000","0.0852","0.2207"
"5.2000","0.0869","0.2250"
"5.3000","0.0883","0.2284"
"5.4000","0.0901","0.2325"
"5.5000","0.0919","0.2370"
"5.6000","0.0934","0.2419"
"5.7000","0.0949","0.2445"
"5.8000","0.0968","0.2493"
"5.9000","0.0985","0.2538"
"6.0000","0.1000","0.2571"
"6.1000","0.1016","0.2613"
"6.2000","0.1035","0.2667"
"6.3000","0.1051","0.2700"
"6.4000","0.1066","0.2734"
"6.5000","0.1084","0.2788"
"6.6000","0.1102","0.2832"
"6.7000","0.1117","0.2863"
"6.8000","0.1133","0.2903"
"6.9000","0.1153","0.2952"
"7.0000","0.1169","0.2995"
"7.1000","0.1184","0.3031"
"7.2000","0.1200","0.3073"
"7.3000","0.1219","0.3123"
"7.4000","0.1234","0.3159"
"7.5000","0.1250","0.3203"
"7.6000","0.1269","0.3248"
"7.7000","0.1285","0.3291"
"7.8000","0.1300","0.3323"
"7.9000","0.1317","0.3365"
"8.0000","0.1335","0.3416"
"8.1000","0.1351","0.3454"
"8.2000","0.1366","0.3497"
